Cafe_ID,Region,Date,Sales
Cafe 1,North,31 Jan 14,100
Cafe 2,North,31 Jan 14,200
Cafe 3,North,31 Jan 14,100
Cafe 4,South,31 Jan 14,200
Cafe 5,South,31 Jan 14,300
Cafe 1,North,28 Feb 14,100
Cafe 2,North,28 Feb 14,200
Cafe 3,North,28 Feb 14,100
Cafe 4,South,28 Feb 14,200
Cafe 5,South,28 Feb 14,300
Cafe 1,North,31 Mar 14,100
Cafe 2,North,31 Mar 14,200
Cafe 3,North,31 Mar 14,100
Cafe 4,South,31 Mar 14,200
Cafe 5,South,31 Mar 14,300
Cafe 1,North,30 Apr 14,75
Cafe 2,North,30 Apr 14,220
Cafe 3,North,30 Apr 14,120
Cafe 4,South,30 Apr 14,150
Cafe 5,South,30 Apr 14,258
Cafe 1,North,31 May 14,100
Cafe 2,North,31 May 14,200
Cafe 3,North,31 May 14,100
Cafe 4,South,31 May 14,200
Cafe 5,South,31 May 14,300
Cafe 1,North,30 Jun 14,88
Cafe 2,North,30 Jun 14,220
Cafe 3,North,30 Jun 14,140
Cafe 4,South,30 Jun 14,190
Cafe 5,South,30 Jun 14,190
Cafe 1,North,31 Jul 14,90
Cafe 2,North,31 Jul 14,190
Cafe 3,North,31 Jul 14,110
Cafe 4,South,31 Jul 14,250
Cafe 5,South,31 Jul 14,275
Cafe 1,North,31 Aug 14,120
Cafe 2,North,31 Aug 14,210
Cafe 3,North,31 Aug 14,130
Cafe 4,South,31 Aug 14,190
Cafe 5,South,31 Aug 14,350
Cafe 1,North,30 Sep 14,150
Cafe 2,North,30 Sep 14,250
Cafe 3,North,30 Sep 14,130
Cafe 4,South,30 Sep 14,300
Cafe 5,South,30 Sep 14,400
Cafe 1,North,31 Oct 14,90
Cafe 2,North,31 Oct 14,190
Cafe 3,North,31 Oct 14,110
Cafe 4,South,31 Oct 14,250
Cafe 5,South,31 Oct 14,275
Cafe 1,North,30 Nov 14,88
Cafe 2,North,30 Nov 14,220
Cafe 3,North,30 Nov 14,140
Cafe 4,South,30 Nov 14,190
Cafe 5,South,30 Nov 14,190
Cafe 6,South,30 Nov 14,100
Cafe 1,North,31 Dec 14,100
Cafe 2,North,31 Dec 14,200
Cafe 3,North,31 Dec 14,100
Cafe 4,South,31 Dec 14,200
Cafe 5,South,31 Dec 14,300
Cafe 6,South,31 Dec 14,140
